Date	URL	Question	Direction	Round start	Round finish ts	Actually real	Correct response	Comment
2023-11-17	https://www.youtube.com/watch?v=VKN3seBgYVE	Путин сказал что честное провидение выборов очень важно для сохранения внутри политической стабильности	DS	434	443	1	1	
2023-11-17	https://www.youtube.com/watch?v=VKN3seBgYVE	Обязательный предмет «Семьеведение» могут ввести в следующем году в рамках школьной программы. Заявила председатель гос думы.	SD	501	543	1	0	
2023-11-17	https://www.youtube.com/watch?v=VKN3seBgYVE	Основы военной подготовки введут в детсадах с 2025 года.	DS	560	598	0	1	
2023-11-17	https://www.youtube.com/watch?v=VKN3seBgYVE	Мэр москвы собянин сообщил что город досрочно выполнил план по набору контрактников. По его словам в армию записалось более 22 тысяч жителей Москвы.	SD	640	671	1	0	
2023-11-17	https://www.youtube.com/watch?v=VKN3seBgYVE	Профессия понятого названа более перспективной и более оплачиваемой на рынке труда Российской Федерации.	DS	714	733	0	1	
2023-11-17	https://www.youtube.com/watch?v=VKN3seBgYVE	«Войска Иисуса Христа против антихриста» так командир чеченского спецназа назвал своих бойцов.	SD	830	860	1	1	
2023-11-24	https://www.youtube.com/watch?v=x0hl_s3yUBU	Мужчину отправили в колонию на два года за избиение машины мясом в городе Санкт Петербурге.	DS	200	270	1	0	Sergey didn’t know
2023-11-24	https://www.youtube.com/watch?v=x0hl_s3yUBU	Бешеные коты отправляют на карантин третье Саратовское село подряд	SD	335	364	1	1	
2023-11-24	https://www.youtube.com/watch?v=x0hl_s3yUBU	В Новосибирске начали разбирать недостроенную школу.	SD	420	445	1	1	
2023-11-24	https://www.youtube.com/watch?v=x0hl_s3yUBU	Новый президент Аргентины разрешает принимать героин в школьных столовых	DS	515	528	0	1	9:35 Sergey said “2 – 2”, as he gave out extra point
2023-11-24	https://www.youtube.com/watch?v=x0hl_s3yUBU	Компания помогвашия россиянам избежать мобилизации путем получения Израильского пасспорта, передала данные новоиспеченных граждан в ЦАХАЛ	SD	579	628	0	0	Draw
2023-12-01	https://www.youtube.com/watch?v=pCQK2xFlKoA	Чиновники заявили что тысячи фотографий заваленных улиц снегом Петербурга были созданы с помощью нейросетей	SD	147	160	0	0	
2023-12-01	https://www.youtube.com/watch?v=pCQK2xFlKoA	Банки Лаоса начали принимать карты Мир	SD	189	202	1	1	
2023-12-01	https://www.youtube.com/watch?v=pCQK2xFlKoA	Член СПЧ рекомендовал использовать представителей интелегенции признаных Иностранными агентами на лесозаготовках	SD	226	240	0	1	
